COMPRODUCT,COMPRODUCT-17176,2024-08-19 07:38:58.007000-05:00,status,Code Review,Ready for Production,0 days 07:05:15.460000
COMPRODUCT,COMPRODUCT-17176,2024-11-12 09:32:48.980848-05:00,,Ready for Production,Active,85 days 01:53:50.973848
COMPRODUCT,COMPRODUCT-17173,2024-08-12 03:24:26.987000-05:00,status,New,In Development,
COMPRODUCT,COMPRODUCT-17173,2024-08-13 06:48:39.223000-05:00,status,In Development,Code Review,1 days 03:24:12.236000
COMPRODUCT,COMPRODUCT-17173,2024-08-16 03:58:55.290000-05:00,status,Code Review,QA Testing,2 days 21:10:16.067000
COMPRODUCT,COMPRODUCT-17173,2024-10-28 10:10:44.557000-05:00,status,QA Testing,PO Validation,73 days 06:11:49.267000
COMPRODUCT,COMPRODUCT-17173,2024-10-28 10:53:39.717000-05:00,status,PO Validation,Ready for Production,0 days 00:42:55.160000
COMPRODUCT,COMPRODUCT-17173,2024-11-12 09:32:48.989204-05:00,,Ready for Production,Active,14 days 22:39:09.272204
COMPRODUCT,COMPRODUCT-17166,2024-07-16 10:16:02.040000-05:00,status,New,In Development,
COMPRODUCT,COMPRODUCT-17166,2024-07-16 12:53:57.620000-05:00,status,In Development,Code Review,0 days 02:37:55.580000
COMPRODUCT,COMPRODUCT-17166,2024-07-16 12:54:01.983000-05:00,status,Code Review,QA Testing,0 days 00:00:04.363000
COMPRODUCT,COMPRODUCT-17166,2024-08-15 15:02:15.683000-05:00,status,QA Testing,PO Validation,30 days 02:08:13.700000
COMPRODUCT,COMPRODUCT-17166,2024-10-24 05:15:09.717000-05:00,status,PO Validation,Closed,69 days 14:12:54.034000
COMPRODUCT,COMPRODUCT-17166,2024-11-12 09:32:49.000032-05:00,,Closed,Active,19 days 04:17:39.283032
COMPRODUCT,COMPRODUCT-17144,2024-07-05 05:14:51.680000-05:00,status,New,Ready for Refinement,
COMPRODUCT,COMPRODUCT-17144,2024-07-05 05:19:00.280000-05:00,status,Ready for Refinement,Ready for Development,0 days 00:04:08.600000
COMPRODUCT,COMPRODUCT-17144,2024-07-05 07:51:24.133000-05:00,status,Ready for Development,In Development,0 days 02:32:23.853000
COMPRODUCT,COMPRODUCT-17144,2024-07-09 04:15:53.827000-05:00,status,In Development,Code Review,3 days 20:24:29.694000
COMPRODUCT,COMPRODUCT-17144,2024-07-24 07:55:53.557000-05:00,status,Code Review,In Development,15 days 03:39:59.730000
