expand,self,id,key,name,projectTypeKey,archived,avatarUrls.48x48,avatarUrls.24x24,avatarUrls.16x16,avatarUrls.32x32,projectCategory.self,projectCategory.id,projectCategory.name,projectCategory.description
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/28902,28902,GOBEIP,Global On/Off Boarding-Corp Employees Improvement' (Project-2060),software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/29600,29600,ICOE,ICOE,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/27200,27200,IL,Integration Layer,software,False,https://jira.footlocker.com/secure/projectavatar?pid=27200&avatarId=13204,https://jira.footlocker.com/secure/projectavatar?size=small&pid=27200&avatarId=13204,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=27200&avatarId=13204,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=27200&avatarId=13204,https://jira.footlocker.com/rest/api/2/projectCategory/10108,10108,Security,Security
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/22100,22100,INV,Inventory,software,False,https://jira.footlocker.com/secure/projectavatar?pid=22100&avatarId=29100,https://jira.footlocker.com/secure/projectavatar?size=small&pid=22100&avatarId=29100,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=22100&avatarId=29100,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=22100&avatarId=29100,https://jira.footlocker.com/rest/api/2/projectCategory/10201,10201,Core Retail,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/16803,16803,AUTO,IT Automation and Tools Engineering,software,False,https://jira.footlocker.com/secure/projectavatar?pid=16803&avatarId=10207,https://jira.footlocker.com/secure/projectavatar?size=small&pid=16803&avatarId=10207,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=16803&avatarId=10207,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=16803&avatarId=10207,https://jira.footlocker.com/rest/api/2/projectCategory/10702,10702,Technology Services,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/11301,11301,RESO,Launch Reservation App,software,False,https://jira.footlocker.com/secure/projectavatar?pid=11301&avatarId=15605,https://jira.footlocker.com/secure/projectavatar?size=small&pid=11301&avatarId=15605,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=11301&avatarId=15605,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=11301&avatarId=15605,https://jira.footlocker.com/rest/api/2/projectCategory/10701,10701,Digital Technology,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/26101,26101,MARTECH,MARTECH,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,https://jira.footlocker.com/rest/api/2/projectCategory/10701,10701,Digital Technology,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/30000,30000,HAPS,MAWM HAPS,software,False,https://jira.footlocker.com/secure/projectavatar?pid=30000&avatarId=43800,https://jira.footlocker.com/secure/projectavatar?size=small&pid=30000&avatarId=43800,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=30000&avatarId=43800,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=30000&avatarId=43800,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/29700,29700,MA,Media Analytics,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/22601,22601,MEMBR,Membership,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,https://jira.footlocker.com/rest/api/2/projectCategory/10703,10703,Omni Engineering,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/19604,19604,MERCH,Merchandising,software,False,https://jira.footlocker.com/secure/projectavatar?pid=19604&avatarId=10010,https://jira.footlocker.com/secure/projectavatar?size=small&pid=19604&avatarId=10010,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=19604&avatarId=10010,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=19604&avatarId=10010,https://jira.footlocker.com/rest/api/2/projectCategory/10201,10201,Core Retail,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/27900,27900,M365G,Microsoft 365 Governance,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/12004,12004,MAD,Mobile App Dev,software,False,https://jira.footlocker.com/secure/projectavatar?pid=12004&avatarId=10208,https://jira.footlocker.com/secure/projectavatar?size=small&pid=12004&avatarId=10208,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=12004&avatarId=10208,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=12004&avatarId=10208,https://jira.footlocker.com/rest/api/2/projectCategory/10703,10703,Omni Engineering,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/28800,28800,MAVEN,Mobile Application Visual Enhancement Navigation,software,False,https://jira.footlocker.com/secure/projectavatar?pid=28800&avatarId=10204,https://jira.footlocker.com/secure/projectavatar?size=small&pid=28800&avatarId=10204,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=28800&avatarId=10204,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=28800&avatarId=10204,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/29902,29902,NS,Network Services,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/25702,25702,OEPORT,Omni Engineering Portfolio,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,https://jira.footlocker.com/rest/api/2/projectCategory/10703,10703,Omni Engineering,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/27103,27103,FLXO,Owned Media Projects,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,https://jira.footlocker.com/rest/api/2/projectCategory/10300,10300,Business,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/18900,18900,PTF,Payments-Tax-Fraud,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,https://jira.footlocker.com/rest/api/2/projectCategory/10703,10703,Omni Engineering,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/15802,15802,PT,Performance Testing and Tuning,software,False,https://jira.footlocker.com/secure/projectavatar?pid=15802&avatarId=10201,https://jira.footlocker.com/secure/projectavatar?size=small&pid=15802&avatarId=10201,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=15802&avatarId=10201,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=15802&avatarId=10201,https://jira.footlocker.com/rest/api/2/projectCategory/10703,10703,Omni Engineering,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/24100,24100,PIM,PIM,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,https://jira.footlocker.com/rest/api/2/projectCategory/10201,10201,Core Retail,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/28201,28201,PCR,Planview Changes & Requests,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
